zip_id,zip,city,state
592,91909,Chula Vista,California
593,37642,Church Hill,Tennessee
594,1798,Cincinatti,Ohio
595,45201,Cincinnati,Ohio
596,1798,Cinnaminson,New Jersey
597,55014,Circle Pines,Minnesota
598,1798,Ciudad Juarez,Unkown
599,91711,Claremont,California
600,74017,Claremore,Oklahoma
601,14032,Clarence Center,New York
602,51632,Clarinda,Iowa
603,7066,Clark,New Jersey
604,18411,Clarks Summit,Pennsylvania
605,20871,Clarksburg,Maryland
606,38614,Clarksdale,Mississippi
607,21029,Clarksville,Maryland
608,37040,Clarksville,Tennessee
609,48017,Clawson,Michigan
610,19703,Claymont,Delaware
611,8312,Clayton,Missouri
612,27520,Clayton,North Carolina
613,50428,Clear Lake,Iowa
614,57226,Clear Lake,South Dakota
615,1798,Clear Water,Florida
616,84015,Clearfield,Utah
617,33755,Clearwater,Florida
618,76031,Cleburne,Texas
619,8021,Clementon,New Jersey
620,29631,Clemson,South Carolina
621,34711,Clermont,Florida
622,38732,Cleveland,Mississippi
623,44101,Cleveland,Ohio
624,37311,Cleveland,Tennessee
625,1798,Cleveland Heights,Ohio
626,1798,Cleveland Hts,Ohio
627,33440,Clewiston,Florida
628,7010,Cliffside Park,New Jersey
629,7011,Clifton,New Jersey
630,20124,Clifton,Virginia
631,24422,Clifton Forge,Virginia
632,19018,Clifton Heights,Pennsylvania
633,12065,Clifton Park,New York
634,39056,Clinton,Mississippi
635,13323,Clinton,New York
636,28328,Clinton,North Carolina
637,48035,Clinton Township,Michigan
638,50325,Clive,Iowa
639,7624,Closter,New Jersey
640,29710,Clover,South Carolina
641,93611,Clovis,California
642,88101,Clovis,New Mexico
643,28721,Clyde,North Carolina
644,1798,Clyde Hill,Washington
645,19320,Coatesville,Pennsylvania
646,1798,Cochituate,Massachusetts
647,21030,Cockeysville,Maryland
648,33097,Coconut Creek,Florida
649,38922,Coffeeville,Mississippi
650,67337,Coffeyville,Kansas
651,12047,Cohoes,New York
652,99005,Colbert,Washington
653,5439,Colchester,Vermont
654,56320,Cold Spring,Minnesota
655,45828,Coldwater,Ohio
656,20740,College Park,Maryland
657,11356,College Point,New York
658,77840,College Station,Texas
659,19426,Collegeville,Pennsylvania
660,76034,Colleyville,Texas
661,38017,Collierville,Tennessee
662,8108,Collingswood,New Jersey
663,1798,Colma,California
664,7067,Colonia,New Jersey
665,80901,Colorado Springs,Colorado
666,1798,Colorado Sprs,Colorado
667,7722,Colts Neck,New Jersey
668,21044,Columbia,Maryland
669,65201,Columbia,Missouri
670,29201,Columbia,South Carolina
671,38401,Columbia,Tennessee
672,1798,Columbia Heights,Minnesota
673,31901,Columbus,Georgia
674,47201,Columbus,Indiana
675,43085,Columbus,Ohio
676,11725,Commack,New York
677,48382,Commerce Township,Michigan
678,1798,Conaga Park,California
679,94518,Concord,California
680,1742,Concord,Massachusetts
681,3301,Concord,New Hampshire
682,28025,Concord,North Carolina
683,77301,Conroe,Texas
684,19428,Conshohocken,Pennsylvania
685,78109,Converse,Texas
686,72032,Conway,Arkansas
687,29526,Conway,South Carolina
688,38501,Cookeville,Tennessee
689,50059,Cooper,Florida
690,1798,Cooper City,Florida
691,18036,Coopersburg,Pennsylvania
692,13326,Cooperstown,New York
693,12516,Copake,New York
694,1798,Copley,Ohio
695,1798,Coppel,Texas
696,75019,Coppell,Texas
697,1798,Coppelle,Texas
698,49917,Copper City,Florida
699,1798,Coral Gable,Florida
700,33114,Coral Gables,Florida
701,33075,Coral Springs,Florida
702,52241,Coralville,Iowa
703,11727,Coram,New York
704,15108,Coraopolis,Pennsylvania
705,38016,Cordova,Tennessee
706,38834,Corinth,Mississippi
707,28031,Cornelius,North Carolina
708,92877,Corona,California
709,11368,Corona,New York
710,78401,Corpus Christi,Texas
711,94925,Corte Madera,California
712,13045,Cortland,New York
713,10567,Cortlandt Manor,New York
714,97330,Corvallis,Oregon
715,59828,Corvallis,Unkown
716,6807,Cos Cob,Connecticut
717,92626,Costa Mesa,California
718,94931,Cotati,California
719,1798,Cottonwood Heights,Utah
720,1798,Cottonwood Hts,Utah
721,1798,Countryside,Illinois
722,2816,Coventry,Rhode Island
723,91722,Covina,California
724,70433,Covington,Louisiana
725,16917,Covington,Washington
726,16319,Cranberry,Pennsylvania
727,16066,Cranberry Township,Pennsylvania
728,1798,Cranberry Twp,Pennsylvania
729,8512,Cranbury,New Jersey
730,7016,Cranford,New Jersey
731,2910,Cranston,Rhode Island
732,47933,Crawfordsville,Indiana
733,1798,Creskill,New Jersey
734,7626,Cresskill,New Jersey
735,1798,Crestview Hills,Kentucky
736,61610,Creve Coeur,Missouri
737,1798,Creve Couer,Missouri
738,75835,Crockett,Texas
739,21114,Crofton,Maryland
740,6416,Cromwell,Connecticut
741,38555,Crossville,Tennessee
742,10520,Croton On Hudson,New York
743,46307,Crown Point,Indiana
744,87313,Crownpoint,New Mexico
745,22932,Crozet,Virginia
746,60012,Crystal Lake,Illinois
747,53110,Cudahy,Wisconsin
748,22701,Culpeper,Virginia
749,90230,Culver City,California
750,21501,Cumberland,Maryland
751,2864,Cumberland,Rhode Island
752,30028,Cumming,Georgia
753,95014,Cupertino,California
754,1798,Cuptertino,California
755,44221,Cuyahoga Falls,Ohio
756,90630,Cypress,California
757,77410,Cypress,Texas
758,92327,Daggett,California
759,30533,Dahlonega,Georgia
760,1798,Dakota Dunes,South Dakota
761,1798,Dalas,Texas
762,1798,Dale City,California
763,30132,Dallas,Georgia
764,75201,Dallas,Texas
765,30719,Dalton,Georgia
766,94014,Daly City,California
767,1798,Dalycity,California
768,92629,Dana Point,California
769,6810,Danbury,Connecticut
770,1923,Danvers,Massachusetts
771,1798,Danvile,Pennsylvania
772,94506,Danville,California
773,17821,Danville,Pennsylvania
774,24540,Danville,Virginia
775,1798,Danwoody,Georgia
776,6820,Darien,Connecticut
777,60561,Darien,Illinois
778,2714,Dartmouth,Massachusetts
779,33836,Davenport,Florida
780,52801,Davenport,Iowa
781,28035,Davidson,North Carolina
782,1798,Davie,Florida
783,95616,Davis,California
784,30534,Dawsonville,Georgia
785,8810,Dayton,New Jersey
786,45401,Dayton,Ohio
787,32114,Daytona Beach,Florida
788,54115,De Pere,Wisconsin
789,48120,Dearborn,Michigan
790,48125,Dearborn Heights,Michigan
